state,line,our_serff_tracking_number,our_subsidiary,our_effective_date,our_impact,our_policyholders,matched_ambest_subsidiary,ambest_effective_date,ambest_impact,ambest_policyholders,agreed_subsidiary,agreed_impact,agreed_eff_date,agreed_policyholders,match_strength
GA,PPA,PRGS-134512695,Progressive Mountain Insurance Company,06/23/2025,0.000%,391861,Progressive Mountain Insurance Company,06/23/25,0.0,391861,True,True,True,True,direct
GA,PPA,PRGS-134611011,Progressive Advanced Insurance Company,12/05/2025,0.600%,939,Progressive Advanced Insurance Company,12/05/25,0.6,939,True,True,True,True,direct
GA,PPA,PRGS-134611011,Progressive Choice Insurance Company,12/05/2025,2.300%,139214,Progressive Choice Insurance Company,12/05/25,2.3,139214,True,True,True,True,direct
GA,PPA,PRGS-134611011,Progressive Direct Insurance Company,12/05/2025,0.600%,583,Progressive Direct Insurance Company,12/05/25,0.6,583,True,True,True,True,direct
GA,PPA,PRGS-134611011,Progressive Premier Insurance Company of Illinois,12/05/2025,0.600%,460416,Progressive Premier Insurance Company of Illinois,12/05/25,0.6,460416,True,True,True,True,direct
GA,PPA,PRGS-134655228,Progressive American Insurance Company,12/05/2025,-4.100%,1584,Progressive American Insurance Company,12/05/25,-4.1,1584,True,True,True,True,direct
GA,PPA,PRGS-134655228,Progressive Freedom Insurance Company,12/05/2025,-4.100%,82918,Progressive Freedom Insurance Company,12/05/25,-4.1,82918,True,True,True,True,direct
GA,PPA,PRGS-134655228,Progressive Southeastern Insurance Company,12/05/2025,-4.100%,1557,Progressive Southeastern Insurance Company,12/05/25,-4.1,1557,True,True,True,True,direct
GA,PPA,PRGS-134655228,Progressive Mountain Insurance Company,12/05/2025,-4.100%,394829,Progressive Mountain Insurance Company,12/05/25,-4.1,394829,True,True,True,True,direct
GA,PPA,LBPM-133860640,Safeco National Insurance Company,01/22/2024,4.900%,129,,,,,,,,,none
GA,PPA,LBPM-133860722,Safeco National Insurance Company,01/22/2024,14.500%,4584,,,,,,,,,none
GA,PPA,LBPM-133910457,Safeco Insurance Company of Indiana,02/17/2024,0.000%,0,,,,,,,,,none
GA,PPA,LBPM-133910457,Safeco Insurance Company of Illinois,02/17/2024,0.000%,0,,,,,,,,,none
GA,PPA,LBPM-133985771,Safeco Insurance Company of Indiana,05/01/2024,12.600%,11844,,,,,,,,,none
GA,PPA,LBPM-133985771,Safeco Insurance Company of Illinois,05/01/2024,12.500%,21776,,,,,,,,,none
GA,PPA,LBPM-133989337,Safeco Insurance Company of Indiana,08/08/2024,15.300%,98,,,,,,,,,none
GA,PPA,LBPM-133989337,General Insurance Company of America,08/08/2024,13.100%,17,,,,,,,,,none
GA,PPA,LBPM-133989337,American States Preferred Insurance Company,08/08/2024,0.000%,0,American States Preferred Insurance Company,12/13/25,0.0,0,True,True,False,True,date_relaxed
GA,PPA,LBPM-133989337,Safeco National Insurance Company,08/08/2024,14.900%,684,,,,,,,,,none
GA,PPA,LBPM-133989337,Safeco Insurance Company of America,08/08/2024,14.900%,1020,,,,,,,,,none
GA,PPA,LBPM-133989337,Safeco Insurance Company of Illinois,08/08/2024,15.200%,365,,,,,,,,,none
GA,PPA,LBPM-133989337,First National Insurance Company of America,08/08/2024,15.000%,56,,,,,,,,,none
GA,PPA,LBPM-133989337,American States Insurance Company,08/08/2024,16.200%,19,,,,,,,,,none
GA,PPA,LBPM-133989337,American States Insurance Company of Texas,08/08/2024,20.000%,1,,,,,,,,,none
