date,game_id,home_team,away_team,venue,home_edge_score,away_edge_score,edge_diff,ou_score,ou_convergence_boost,model_total,actual_total,home_score,away_score,home_won,bet_signal,bet_side,model_win_prob,diff_signal,diff_side,ou_signal,ml_result,diff_result,ou_result
2025-05-06,778034,Atlanta Braves,Cincinnati Reds,Truist Park,64.9,51.79,13.1,53.0,0.0,8.6,3,2,1,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-05-06,778027,Chicago Cubs,San Francisco Giants,Wrigley Field,60.41,39.34,21.1,57.2,0.0,9.1,19,5,14,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET
2025-05-06,778028,Minnesota Twins,Baltimore Orioles,Target Field,30.52,52.7,22.2,60.6,0.0,9.5,10,9,1,True,NO BET,,,AWAY,AWAY,NO BET,NO BET,LOSS,NO BET
2025-05-06,778033,Kansas City Royals,Chicago White Sox,Kauffman Stadium,72.59,49.11,23.5,53.0,0.0,8.5,7,4,3,True,HOME,HOME,0.6315,NO BET,,NO BET,WIN,NO BET,NO BET
2025-05-06,778031,Milwaukee Brewers,Houston Astros,American Family Field,56.66,59.12,2.5,46.1,-8.0,8.4,7,4,3,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-06,778030,St. Louis Cardinals,Pittsburgh Pirates,Busch Stadium,68.85,70.1,1.2,32.3,-15.0,7.5,3,2,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-06,778025,Los Angeles Angels,Toronto Blue Jays,Angel Stadium,59.58,41.41,18.2,56.6,0.0,9.0,11,8,3,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-05-06,778032,Arizona Diamondbacks,New York Mets,Chase Field,43.71,34.83,8.9,60.2,0.0,9.5,6,5,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-06,778024,Athletics,Seattle Mariners,Sutter Health Park,56.44,44.54,11.9,56.0,0.0,9.0,8,3,5,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-07,778022,Washington Nationals,Cleveland Guardians,Nationals Park,32.16,26.05,6.1,64.0,0.0,10.0,14,6,8,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-07,778015,Milwaukee Brewers,Houston Astros,American Family Field,58.78,54.05,4.7,54.9,0.0,8.7,10,1,9,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-07,778016,St. Louis Cardinals,Pittsburgh Pirates,Busch Stadium,53.34,45.35,8.0,56.1,0.0,9.0,5,5,0,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-07,778020,Chicago Cubs,San Francisco Giants,Wrigley Field,62.41,47.18,15.2,54.6,0.0,8.8,4,1,3,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET
2025-05-07,778010,Athletics,Seattle Mariners,Sutter Health Park,58.08,49.84,8.2,54.2,0.0,8.8,11,5,6,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-07,778014,Arizona Diamondbacks,New York Mets,Chase Field,47.5,41.94,5.6,57.7,0.0,9.2,8,1,7,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-07,778017,Miami Marlins,Los Angeles Dodgers,loanDepot park,50.46,57.7,7.2,54.1,0.0,8.8,11,1,10,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-07,778018,Boston Red Sox,Texas Rangers,Fenway Park,55.4,55.7,0.3,44.8,-8.0,8.4,10,6,4,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-07,778021,Tampa Bay Rays,Philadelphia Phillies,George M. Steinbrenner Field,33.06,66.92,33.9,58.4,0.0,9.1,7,0,7,False,NO BET,,,AWAY,AWAY,NO BET,NO BET,WIN,NO BET
2025-05-07,778019,New York Yankees,San Diego Padres,Yankee Stadium,36.57,65.24,28.7,57.5,0.0,9.1,7,4,3,True,NO BET,,,AWAY,AWAY,NO BET,NO BET,LOSS,NO BET
2025-05-07,778023,Atlanta Braves,Cincinnati Reds,Truist Park,67.37,52.72,14.7,52.4,0.0,8.5,7,3,4,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET
2025-05-07,778011,Minnesota Twins,Baltimore Orioles,Target Field,63.1,42.8,20.3,55.9,0.0,8.9,7,5,2,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-05-07,778012,Kansas City Royals,Chicago White Sox,Kauffman Stadium,61.18,47.56,13.6,54.6,0.0,8.8,3,2,1,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-05-07,778013,Colorado Rockies,Detroit Tigers,Coors Field,52.33,51.71,0.6,54.3,0.0,8.8,14,6,8,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-07,778009,Los Angeles Angels,Toronto Blue Jays,Angel Stadium,60.16,43.08,17.1,56.1,0.0,9.0,9,5,4,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-05-08,778007,Minnesota Twins,Baltimore Orioles,Target Field,40.67,48.81,8.1,57.9,0.0,9.2,7,5,2,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-08,778006,Boston Red Sox,Texas Rangers,Fenway Park,57.4,41.0,16.4,57.0,0.0,9.1,5,5,0,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-05-08,778008,Kansas City Royals,Chicago White Sox,Kauffman Stadium,65.23,40.26,25.0,56.4,0.0,9.0,10,10,0,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-05-08,778004,Colorado Rockies,Detroit Tigers,Coors Field,66.44,57.26,9.2,43.2,-8.0,8.1,12,2,10,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-08,778029,Colorado Rockies,Detroit Tigers,Coors Field,49.88,48.21,1.7,55.5,0.0,9.0,12,1,11,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-08,778005,Tampa Bay Rays,Philadelphia Phillies,George M. Steinbrenner Field,44.58,56.26,11.7,56.0,0.0,9.0,13,6,7,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-08,778003,Atlanta Braves,Cincinnati Reds,Truist Park,53.84,48.43,5.4,55.1,0.0,8.9,9,5,4,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-08,778000,Los Angeles Angels,Toronto Blue Jays,Angel Stadium,49.94,56.0,6.1,54.4,0.0,8.8,13,5,8,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-08,777999,Arizona Diamondbacks,Los Angeles Dodgers,Chase Field,42.76,27.4,15.4,65.7,0.0,10.0,8,5,3,True,NO BET,,,HOME,HOME,OVER,NO BET,WIN,LOSS
2025-05-09,777996,Detroit Tigers,Texas Rangers,Comerica Park,60.47,54.49,6.0,52.6,0.0,8.6,3,2,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-09,777998,Pittsburgh Pirates,Atlanta Braves,PNC Park,36.75,79.01,42.3,56.1,0.0,8.8,5,3,2,True,AWAY,AWAY,0.6475,NO BET,,NO BET,LOSS,NO BET,NO BET
2025-05-09,777995,Washington Nationals,St. Louis Cardinals,Nationals Park,42.68,36.08,6.6,59.9,0.0,9.5,10,0,10,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-09,778002,Tampa Bay Rays,Milwaukee Brewers,George M. Steinbrenner Field,70.9,55.25,15.7,43.3,-8.0,8.1,7,4,3,True,HOME,HOME,0.6273,NO BET,,NO BET,WIN,NO BET,NO BET
